kenpom,sports_reference_url_value,cbs,conference,vsin,teamrank,sports_reference,home_location
Long Beach St.,long-beach-state,LBSU,BW,Long Beach ST,Long Beach St,Long Beach State,LBS Financial Credit Union Pyramid
Longwood,longwood,Longwood,BSth,Longwood,Longwood,Longwood,Joan Perry Brock Center
Louisiana,louisiana-lafayette,Louisiana,SB,LA Lafayette,Louisiana,Louisiana,Cajundome
Louisiana Monroe,louisiana-monroe,UL-Monroe,SB,LA Monroe,UL Monroe,Louisiana-Monroe,Fant–Ewing Coliseum
Louisiana Tech,louisiana-tech,La. Tech,CUSA,Louisiana Tech,LA Tech,Louisiana Tech,Thomas Assembly Center
Louisville,louisville,Louisville,ACC,Louisville,Louisville,Louisville,KFC Yum! Center
Loyola Chicago,loyola-il,Loyola Chi.,A10,Loyola-Chicago,Loyola Chi,Loyola (IL),Joseph J. Gentile Arena
Loyola Marymount,loyola-marymount,LMU,WCC,Loyola-Marymount,Loyola Mymt,Loyola Marymount,Gersten Pavilion
Loyola MD,loyola-md,Loyola-Md.,PL,Loyola-Maryland,Loyola-MD,Loyola (MD),Reitz Arena
LSU,louisiana-state,LSU,SEC,LSU,LSU,Louisiana State,Pete Maravich Assembly Center
Maine,maine,Maine,AE,Maine,Maine,Maine,Cross Insurance Center
Manhattan,manhattan,Manhattan,MAAC,Manhattan,Manhattan,Manhattan,Draddy Gymnasium
Marist,marist,Marist,MAAC,Marist,Marist,Marist,McCann Arena
Marquette,marquette,Marquette,BE,Marquette,Marquette,Marquette,Fiserv Forum
Marshall,marshall,Marshall,SB,Marshall,Marshall,Marshall,Cam Henderson Center
Maryland,maryland,Maryland,B10,Maryland,Maryland,Maryland,Xfinity Center
Maryland Eastern Shore,maryland-eastern-shore,Md.-E. Shore,MEAC,MD-E Shore,Maryland ES,Maryland-Eastern Shore,Hytche Athletic Center
Massachusetts,massachusetts,Massachusetts,MAC,Massachusetts,UMass,Massachusetts,Mullins Center
McNeese,mcneese-state,McNeese,Slnd,Mcneese ST,McNeese,McNeese State,The Legacy Center
Memphis,memphis,Memphis,Amer,Memphis,Memphis,Memphis,FedExForum
Mercer,mercer,Mercer,SC,Mercer,Mercer,Mercer,Hawkins Arena
Mercyhurst,mercyhurst,Mercyhurst,NEC,Mercyhurst,Mercyhurst,Mercyhurst,Mercyhurst Athletic Center
Merrimack,merrimack,Merrimack,MAAC,Merrimack,Merrimack,Merrimack,Hammel Court
Miami FL,miami-fl,Miami,ACC,Miami FL,Miami,Miami (FL),Watsco Center
Miami OH,miami-oh,Miami (Ohio),MAC,Miami OH,Miami OH,Miami (OH),Millett Hall
Michigan,michigan,Michigan,B10,Michigan,Michigan,Michigan,Crisler Center
Michigan St.,michigan-state,Michigan St.,B10,Michigan ST,Michigan St,Michigan State,Breslin Student Events Center
Middle Tennessee,middle-tennessee,Middle Tenn.,CUSA,Middle Tenn ST,Middle Tenn,Middle Tennessee,Murphy Center
Milwaukee,milwaukee,Milwaukee,Horz,UW-Milwaukee,WI-Milwkee,Milwaukee,UW–Milwaukee Panther Arena
Minnesota,minnesota,Minnesota,B10,Minnesota,Minnesota,Minnesota,Williams Arena
Mississippi,mississippi,Ole Miss,SEC,Mississippi,Mississippi,Mississippi,The Sandy and John Black Pavilion at Ole Miss
Mississippi St.,mississippi-state,Miss. St.,SEC,Mississippi ST,Mississippi St,Mississippi State,Humphrey Coliseum
Mississippi Valley St.,mississippi-valley-state,Miss Valley St.,SWAC,Miss Valley ST,Miss Val St,Mississippi Valley State,Harrison HPER Complex
Missouri,missouri,Missouri,SEC,Missouri,Missouri,Missouri,Mizzou Arena
Missouri St.,missouri-state,Missouri St.,CUSA,Missouri ST,Missouri St,Missouri State,Great Southern Bank Arena
Monmouth,monmouth,Monmouth,CAA,Monmouth,Monmouth,Monmouth,OceanFirst Bank Center
Montana,montana,Montana,BSky,Montana,Montana,Montana,Dahlberg Arena
Montana St.,montana-state,Montana St.,BSky,Montana ST,Montana St,Montana State,Brick Breeden Fieldhouse
Morehead St.,morehead-state,Morehead St.,OVC,Morehead ST,Morehead St,Morehead State,Ellis Johnson Arena
Morgan St.,morgan-state,Morgan St.,MEAC,Morgan ST,Morgan St,Morgan State,Talmadge L. Hill Field House
Mount St. Mary's,mount-st-marys,Mt St Mary's,MAAC,Mt St Marys,Mt St Mary's,Mount St. Mary's,Knott Arena
Murray St.,murray-state,Murray St.,MVC,Murray ST,Murray St,Murray State,CFSB Center
N.C. State,north-carolina-state,NC State,ACC,NC State,NC State,NC State,Lenovo Center
Navy,navy,Navy,PL,Navy,Navy,Navy,Alumni Hall
Nebraska,nebraska,Nebraska,B10,Nebraska,Nebraska,Nebraska,Pinnacle Bank Arena
Nebraska Omaha,nebraska-omaha,Omaha,Sum,Nebraska-Omaha,Omaha,Omaha,Baxter Arena
Nevada,nevada,Nevada,MWC,Nevada,Nevada,Nevada,Lawlor Events Center
New Hampshire,new-hampshire,New Hamp.,AE,New Hampshire,N Hampshire,New Hampshire,Lundholm Gym
New Mexico,new-mexico,New Mexico,MWC,New Mexico,New Mexico,New Mexico,The Pit
New Mexico St.,new-mexico-state,N. Mex. St.,CUSA,New Mexico ST,N Mex State,New Mexico State,Pan American Center
New Orleans,new-orleans,New Orleans,Slnd,New Orleans,New Orleans,New Orleans,Lakefront Arena
Niagara,niagara,Niagara,MAAC,Niagara,Niagara,Niagara,Gallagher Center
Nicholls,nicholls-state,Nicholls,Slnd,Nicholls ST,Nicholls,Nicholls State,Stopher Gymnasium
NJIT,njit,N.J. Tech,AE,NJIT,NJIT,NJIT,Wellness and Events Center
Norfolk St.,norfolk-state,Norfolk St.,MEAC,Norfolk ST,Norfolk St,Norfolk State,Joseph G. Echols Memorial Hall
North Alabama,north-alabama,N. Alabama,ASun,N Alabama,N Alabama,North Alabama,Flowers Hall
North Carolina,north-carolina,N. Carolina,ACC,North Carolina,North Carolina,North Carolina,Dean Smith Center
North Carolina A&T,north-carolina-at,NC A&T,CAA,N Carolina A&T,NC A&T,North Carolina A&T,Corbett Sports Center
