Date,Teams,DK Open,DynW%,Location,Spread,SpreadOdds,SpreadProbability,PredictedScore,PointsScored,Total,TotalOdds,TotalProbability,MoneyLine,Luck,AdjEM,AdjO,AdjD,AdjT,SOS,AvgPF,AvgPA,TOV,Pace,Ts%,eFG%,MatchupUncertainty,MLConfidence,SU_Correct,Cover_Correct,OU_Correct
1/17/2024,Auburn,-1250,88.02%,a,-11.0,-111.0,99.01%,85.01,80,148.5,-110.0,55.71%,,-0.068,26.15,119,92.9,71.0,2.56,72.765,65.789,11.618,72.238,0.530,0.494,,,1.000,1.000,0.000
1/17/2024,Vanderbilt,740,11.98%,h,11.0,-109.0,0.99%,68.68,65,11.7,-110.0,44.29%,,-0.063,-1.94,103.5,105.4,67.1,2.24,71.919,69.618,10.054,69.406,0.531,0.499,,,,,
1/17/2024,Texas Tech,480,13.34%,a,13.0,-110.0,45.47%,61.57,54,130.5,-110.0,73.30%,,0.047,17.82,115.6,97.8,66.3,-0.21,73.344,66.927,12.844,67.775,0.557,0.525,,,1.000,1.000,1.000
1/17/2024,Houston,-690,86.66%,h,-13.0,-110.0,54.53%,75.68,77,10.8,-110.0,26.70%,-1000,-0.041,32.31,117.7,85.4,64.0,2,74.865,55.965,9.459,65.131,0.554,0.523,,,,,
1/17/2024,Louisville,2000,5.46%,a,21.0,-110.0,31.15%,63.54,70,155.5,-110.0,62.79%,,-0.038,-2.17,105.7,107.9,69.7,1.07,63.938,73.499,13.844,71.325,0.521,0.480,,,1.000,1.000,1.000
1/17/2024,North Carolina,-7000,94.54%,h,-21.0,-109.0,68.85%,90.69,86,12.4,-110.0,37.21%,,-0.036,25.86,117.9,92.1,71.6,9.29,76.182,68.841,10.455,73.900,0.537,0.494,,,,,
1/17/2024,UCLA,146,27.27%,a,4.0,-109.0,44.87%,56.68,68,131.0,-110.0,61.61%,,-0.11,5.41,101.8,96.4,65.2,4.61,74.135,59.092,9.297,67.482,0.543,0.513,,,0.000,1.000,1.000
1/17/2024,Arizona St.,-178,72.73%,h,-4.0,-110.0,55.13%,62.06,66,10.5,-110.0,38.39%,-175,0.173,7.07,103.7,96.6,70.5,8.69,71.083,66.148,11.333,72.919,0.520,0.491,,,,,
1/17/2024,USC,1060,17.67%,a,19.0,-111.0,52.90%,69.44,67,159.5,-110.0,52.21%,,-0.092,10.91,111.6,100.7,70.2,7.24,72.455,65.427,11.758,72.453,0.550,0.513,,,1.000,1.000,0.000
1/17/2024,Arizona,-2300,82.33%,h,-19.0,109.0,47.10%,87.39,82,13.5,-110.0,47.79%,,-0.056,28.89,120.3,91.5,74.2,11.32,81.886,69.184,13.114,77.000,0.591,0.566,,,,,
